TradingDate,ID,Avg,stddev_pop(Variation)
2021-11-08,AAA.FR,-0.20000000000000107,0.0
2021-11-08,ABEO.FR,-0.07500000000000018,0.07500000000000047
2021-11-08,ABVX.FR,0.006250000000000089,0.1470993997892825
2021-11-08,ACA.FR,-0.002749999999993147,0.05108754740638406
2021-11-08,ACAN.FR,-0.0016000000000000014,0.006118823416311347
2021-11-08,ADUX.FR,-0.010000000000000054,0.03771236166328262
2021-11-08,ADVIC.FR,-0.008749999999999591,0.05843556517890167
2021-11-08,AFME.FR,-0.040000000000000036,0.09143303560529982
2021-11-08,AIR.FR,0.07000000000000028,0.27367864366808153
2021-11-08,AKW.FR,0.02499999999999991,0.09999999999999887
2021-11-08,ASY.FR,0.012500000000000622,0.0927024810886961
2021-11-08,ATE.FR,0.2875000000000014,0.7312351612929443
2021-11-08,AUB.FR,0.15000000000000036,0.44158804331639295
2021-11-08,AURE.FR,0.012499999999999956,0.18187869889327615
2021-11-08,AURS.FR,-0.12857142857142836,0.15779087167410344
2021-11-08,AVT.FR,0.00028749999999999956,0.0008417207078360359
2021-11-08,BLC.FR,0.06250000000000178,0.24968730444297807
2021-11-08,BN.FR,-0.021250000000000213,0.18037720892618445
2021-11-08,BON.FR,0.05624999999999902,0.14456291882775638
2021-11-08,BUDBS.FR,-0.0020000000000000018,0.0
2021-11-08,CAFO.FR,-0.033333333333333215,0.1359125535858354
2021-11-08,CAP.FR,0.05000000000000071,0.4330127018922075
2021-11-08,CAPLI.FR,-0.033333333333333215,0.07453559924999273
2021-11-08,CARM.FR,0.031538461538459295,0.09094181767032618
2021-11-08,CBOT.FR,0.0012499999999999734,0.005994789404140956
2021-11-08,CDA.FR,-0.05749999999999855,0.06437196594791943
2021-11-08,CEN.FR,-0.21428571428571427,0.31815796359028997
2021-11-08,CGG.FR,0.00033333333333333826,0.00522600335927091
2021-11-08,CGGBS.FR,0.0004000000000000002,0.0008000000000000004
2021-11-08,CGM.FR,-0.02857142857142847,0.16872874015739572
2021-11-08,CNV.FR,-0.060000000000000143,0.08197560612767704
2021-11-08,COH.FR,0.009999999999999898,0.06999999999999995
2021-11-08,COM.FR,-0.041666666666666664,0.277513763422445
2021-11-08,COVH.FR,0.037499999999999645,0.04145780987944175
2021-11-08,COX.FR,-0.0006250000000000422,0.005962120008855963
2021-11-08,CS.FR,0.01750000000000007,0.07615773105863947
2021-11-08,DBG.FR,0.009999999999998899,0.04555216789572311
2021-11-08,DGE.FR,-0.22250000000000014,0.3324999999999996
2021-11-08,DLTA.FR,0.5041666666666677,0.7366049182265678
2021-11-08,DVT.FR,-0.07142857142857142,0.41649656391752143
2021-11-08,EC.FR,0.25,0.4264680527307982
2021-11-08,ECP.FR,0.0013750000000000012,0.01023024858501062
2021-11-08,ELEC.FR,0.0,0.0
2021-11-08,ELIOR.FR,-0.005624999999999214,0.02451880655741733
2021-11-08,ELIS.FR,-0.006250000000000089,0.06836254456937754
2021-11-08,ENGI.FR,-0.006250000000000089,0.028221224282443832
2021-11-08,ES.FR,0.05312499999999987,0.16509348677340308
2021-11-08,ESI.FR,0.04000000000000057,0.4963869458396356
2021-11-08,ETL.FR,0.0062499999999985345,0.04648588495446708
2021-11-08,FATL.FR,-0.20000000000000284,0.0
2021-11-08,FDJ.FR,-0.003749999999979714,0.10462402926667637
2021-11-08,FGR.FR,-0.1850000000000005,0.26205915362757104
2021-11-08,FNAC.FR,-0.03749999999998899,0.28476964374736957
2021-11-08,FPG.FR,0.00799999999999997,0.013140268896284644
2021-11-08,FPN.FR,0.00016666666666666653,0.00043716256828679945
2021-11-08,GENX.FR,0.0,0.014142135623730649
2021-11-08,GLO.FR,0.0024999999999999467,0.07901740314639566
2021-11-08,GNFT.FR,0.0012499999999999178,0.014104520551936516
2021-11-08,GPE.FR,0.06666666666666643,0.33993463423951775
2021-11-08,GRVO.FR,0.6428571428571429,1.4568627181693672
2021-11-08,GUI.FR,0.13250000000000006,0.08085910242170954
2021-11-08,GV.FR,-0.0004875000000000018,0.0019133984817596155
2021-11-08,HEXA.FR,0.012500000000000178,0.1732050807568878
2021-11-08,HOLN.FR,-0.02062500000000167,0.13616252926190867
2021-11-08,IGE.FR,0.0,0.0
2021-11-08,INEA.FR,0.02499999999999858,0.04330127018921947
2021-11-08,IPH.FR,-0.009750000000000147,0.03089397190391687
2021-11-08,IPS.FR,-0.08125000000000515,0.17666617531378243
2021-11-08,IRD.FR,-0.004999999999999005,0.0
2021-11-08,JBOG.FR,0.0374999999999992,0.15958931668504736
2021-11-08,KORI.FR,-0.07999999999999696,0.08774964387391905
2021-11-08,LACR.FR,-0.08333333333333333,0.41899350299921795
2021-11-08,LAT.FR,0.0003125000000000072,0.005942103478567138
2021-11-08,LBIRD.FR,-0.031249999999999556,0.12038350177661315
2021-11-08,LBON.FR,-0.1999999999999981,0.16329931618554172
2021-11-08,LI.FR,0.012499999999999734,0.1254491929029446
2021-11-08,LOCAL.FR,-0.0040812500000000085,0.0049008887905664395
2021-11-08,LSS.FR,0.13124999999999964,0.1539835624344358
2021-11-08,LUCBS.FR,0.012999999999999998,0.0
2021-11-08,MAAT.FR,0.03125,0.20501524333570884
2021-11-08,MBWS.FR,0.003333333333333336,0.01934697794373985
2021-11-08,MCPHY.FR,0.0049999999999954525,0.20487801248547097
2021-11-08,MDM.FR,0.03249999999999753,0.08181534085976823
2021-11-08,MTU.FR,0.1062499999999984,0.1509087058456195
2021-11-08,NEX.FR,0.13124999999999964,0.3278123510485811
