TradingDate,TradingTimeHour,ID,Min,Avg,Max,Count
2021-11-08,09:00,LI.FR,22.17,22.364711711702434,22.54,196
2021-11-08,09:00,LOCAL.FR,1.3102,1.3162292592592593,1.3299999999999987,27
2021-11-08,09:00,LSS.FR,36.45,36.685196078431375,37.100000000000016,17
2021-11-08,09:00,LUCBS.FR,0.0325,0.0325,0.0325,1
2021-11-08,09:00,MAAT.FR,13.5,13.61194444444444,13.875,75
2021-11-08,09:00,MBWS.FR,1.4,1.41625,1.4250000000000005,8
2021-11-08,09:00,MCPHY.FR,22.74,23.101337975441748,23.44,106
2021-11-08,09:00,MDM.FR,20.18,20.319953703703707,20.46,72
2021-11-08,09:00,MTU.FR,29.45,29.555555555555557,29.75,9
2021-11-08,09:00,NEX.FR,86.85000000000001,87.86931034482758,88.5,58
2021-11-08,09:00,NHOA.FR,19.6,19.82,19.94,3
2021-11-08,09:00,NK.FR,37.3,37.612570788530455,37.84,108
2021-11-08,09:00,NOKIA.FR,5.04,5.088450537634411,5.118,62
2021-11-08,09:00,ORAP.FR,5.99,5.9925,6.0,4
2021-11-08,09:00,ORP.FR,94.21199999999999,94.4395331779478,94.84,134
2021-11-08,09:00,PAR.FR,55.5,55.5,55.5,1
2021-11-08,09:00,PAT.FR,17.0,17.0,17.0,3
2021-11-08,09:00,PERR.FR,84.0,84.0,84.0,2
2021-11-08,09:00,PEUG.FR,130.08888888888882,130.50740740740738,130.8,12
2021-11-08,09:00,PIG.FR,5.14,5.1433333333333335,5.15,3
2021-11-08,09:00,POM.FR,23.42,23.517794117647064,23.8,34
2021-11-08,09:00,PREC.FR,34.0,34.13833333333333,34.21,3
2021-11-08,09:00,PROAC.FR,0.158,0.1615,0.165,2
2021-11-08,09:00,PSAT.FR,6.5,6.5,6.5,1
2021-11-08,09:00,QDT.FR,21.3,21.392386363636366,21.54,44
2021-11-08,09:00,RE.FR,135.0,135.38888888888889,136.0,3
2021-11-08,09:00,RF.FR,79.2,79.33125000000001,79.45,36
2021-11-08,09:00,RIN.FR,57.6,58.16739130434781,58.69999999999999,46
2021-11-08,09:00,ROTH.FR,39.5,39.70233870967742,39.910000000000004,31
2021-11-08,09:00,SAMS.FR,204.0,204.0,204.0,1
2021-11-08,09:00,SBT.FR,13.32,13.340000000000002,13.36,3
2021-11-08,09:00,SEV.FR,19.684999999999974,19.70490322580645,19.72,31
2021-11-08,09:00,SFPI.FR,3.63,3.7845370370370373,3.85,72
2021-11-08,09:00,TBGBS.FR,0.024,0.024,0.024000000000000004,4
