TradingDate,TradingTimeHour,ID,min(Last),avg(Last),max(Last),count(1)
2021-11-08,09:00,FATL.FR,43.6,43.6,43.6,1
2021-11-08,09:00,FDJ.FR,45.07,45.250441551406716,45.45,148
2021-11-08,09:00,FGR.FR,92.78,93.6026606586453,94.1,388
2021-11-08,09:00,FNAC.FR,57.35,57.70544354838711,57.95000000000001,31
2021-11-08,09:00,FPG.FR,0.552,0.554,0.556,2
2021-11-08,09:00,FPN.FR,0.036866666666666666,0.037477777777777777,0.0378,6
2021-11-08,09:00,GENX.FR,9.0,9.01,9.04,4
2021-11-08,09:00,GLO.FR,19.56,19.710659340659337,19.84,26
2021-11-08,09:00,GNFT.FR,3.0944,3.1389445714285715,3.16,25
2021-11-08,09:00,GPE.FR,30.0,30.0,30.0,1
2021-11-08,09:00,GRVO.FR,130.10256410256412,130.85897435897436,131.0,17
2021-11-08,09:00,GUI.FR,14.28,14.52782655122655,14.84,105
2021-11-08,09:00,GV.FR,0.36273000000000005,0.3676276449275363,0.37833333333333335,46
2021-11-08,09:00,HEXA.FR,42.2,42.521875,42.7,12
2021-11-08,09:00,HOLN.FR,44.599999999999966,44.847380952380945,45.01,21
2021-11-08,09:00,IGE.FR,262.0,262.0,262.0,1
2021-11-08,09:00,INEA.FR,44.2,44.2,44.2,1
2021-11-08,09:00,IPH.FR,4.757666666666666,4.78766795845998,4.823,56
2021-11-08,09:00,IPS.FR,41.65,41.84861111111111,42.05,18
2021-11-08,09:00,IRD.FR,25.205,25.205,25.205,1
2021-11-08,09:00,JBOG.FR,12.05,12.05,12.05,2
2021-11-08,09:00,KORI.FR,29.6,29.70037429595495,29.88,62
2021-11-08,09:00,LACR.FR,37.0,37.3,37.8,5
2021-11-08,09:00,LAT.FR,0.5039999999999997,0.5090357142857143,0.5115000000000001,14
2021-11-08,09:00,LBIRD.FR,20.0,20.144444444444446,20.3,9
2021-11-08,09:00,LBON.FR,80.6,80.6,80.6,1
2021-11-08,09:00,LI.FR,22.17,22.364711711702434,22.54,196
2021-11-08,09:00,LOCAL.FR,1.3102,1.3162292592592593,1.3299999999999987,27
2021-11-08,09:00,LSS.FR,36.45,36.68519607843138,37.100000000000016,17
2021-11-08,09:00,LUCBS.FR,0.0325,0.0325,0.0325,1
2021-11-08,09:00,MAAT.FR,13.5,13.61194444444444,13.875,75
2021-11-08,09:00,MBWS.FR,1.4,1.41625,1.4250000000000005,8
2021-11-08,09:00,MCPHY.FR,22.74,23.10133797544176,23.44,106
2021-11-08,09:00,MDM.FR,20.18,20.319953703703703,20.46,72
2021-11-08,09:00,MTU.FR,29.45,29.555555555555557,29.75,9
2021-11-08,09:00,NEX.FR,86.85000000000001,87.86931034482757,88.5,58
2021-11-08,09:00,NHOA.FR,19.6,19.82,19.94,3
2021-11-08,09:00,NK.FR,37.3,37.61257078853046,37.84,108
2021-11-08,09:00,NOKIA.FR,5.04,5.08845053763441,5.118,62
2021-11-08,09:00,ORAP.FR,5.99,5.9925,6.0,4
2021-11-08,09:00,ORP.FR,94.21199999999999,94.43953317794781,94.84,134
2021-11-08,09:00,PAR.FR,55.5,55.5,55.5,1
2021-11-08,09:00,PAT.FR,17.0,17.0,17.0,3
2021-11-08,09:00,PERR.FR,84.0,84.0,84.0,2
2021-11-08,09:00,PEUG.FR,130.08888888888882,130.50740740740738,130.8,12
2021-11-08,09:00,PIG.FR,5.14,5.1433333333333335,5.15,3
2021-11-08,09:00,POM.FR,23.42,23.517794117647064,23.8,34
2021-11-08,09:00,PREC.FR,34.0,34.13833333333333,34.21,3
2021-11-08,09:00,PROAC.FR,0.158,0.1615,0.165,2
2021-11-08,09:00,PSAT.FR,6.5,6.5,6.5,1
2021-11-08,09:00,QDT.FR,21.3,21.392386363636362,21.54,44
2021-11-08,09:00,RE.FR,135.0,135.38888888888889,136.0,3
2021-11-08,09:00,RF.FR,79.2,79.33125,79.45,36
2021-11-08,09:00,RIN.FR,57.6,58.167391304347824,58.69999999999999,46
2021-11-08,09:00,ROTH.FR,39.5,39.70233870967742,39.910000000000004,31
2021-11-08,09:00,SAMS.FR,204.0,204.0,204.0,1
2021-11-08,09:00,SBT.FR,13.32,13.340000000000002,13.36,3
2021-11-08,09:00,SEV.FR,19.684999999999974,19.704903225806454,19.72,31
2021-11-08,09:00,SFPI.FR,3.63,3.7845370370370373,3.85,72
